,time,user_name,viewer_count
240,2021-12-03T17:15:17.938760,Dota2RuHub,36319
241,2021-12-03T17:15:17.938760,Trainwreckstv,21182
242,2021-12-03T17:15:17.938760,FPSThailand,16704
243,2021-12-03T17:15:17.938760,stylishnoob4,16113
244,2021-12-03T17:15:17.938760,RiotGames_Korea,14599
245,2021-12-03T17:15:17.938760,BeyondTheSummit,12707
246,2021-12-03T17:15:17.938760,fps_shaka,12041
247,2021-12-03T17:15:17.938760,DreadzTV,11648
248,2021-12-03T17:15:17.938760,zackrawrr,11510
249,2021-12-03T17:15:17.938760,chowh1,11202
250,2021-12-03T17:15:17.938760,Fextralife,10918
251,2021-12-03T17:15:17.938760,Amouranth,10258
252,2021-12-03T17:15:17.938760,Yogscast,9764
253,2021-12-03T17:15:17.938760,Ponce,9679
254,2021-12-03T17:15:17.938760,sinatraa,9402
255,2021-12-03T17:15:17.938760,Shaunz,9131
256,2021-12-03T17:15:17.938760,SilverName,8249
257,2021-12-03T17:15:17.938760,풍월량,7626
258,2021-12-03T17:15:17.938760,NeVeR_LosEs,7597
259,2021-12-03T17:15:17.938760,김도,7558
260,2021-12-03T17:15:21.962564,Dota2RuHub,36319
261,2021-12-03T17:15:21.962564,Trainwreckstv,21182
262,2021-12-03T17:15:21.962564,FPSThailand,16704
263,2021-12-03T17:15:21.962564,stylishnoob4,16113
264,2021-12-03T17:15:21.962564,RiotGames_Korea,14599
265,2021-12-03T17:15:21.962564,BeyondTheSummit,12707
266,2021-12-03T17:15:21.962564,fps_shaka,12041
267,2021-12-03T17:15:21.962564,DreadzTV,11648
268,2021-12-03T17:15:21.962564,zackrawrr,11510
269,2021-12-03T17:15:21.962564,chowh1,11202
270,2021-12-03T17:15:21.962564,Fextralife,10918
271,2021-12-03T17:15:21.962564,Amouranth,10258
272,2021-12-03T17:15:21.962564,Yogscast,9764
273,2021-12-03T17:15:21.962564,Ponce,9679
274,2021-12-03T17:15:21.962564,sinatraa,9402
275,2021-12-03T17:15:21.962564,Shaunz,9131
276,2021-12-03T17:15:21.962564,SilverName,8249
277,2021-12-03T17:15:21.962564,풍월량,7626
278,2021-12-03T17:15:21.962564,NeVeR_LosEs,7597
279,2021-12-03T17:15:21.962564,김도,7558
280,2021-12-03T17:15:32.512858,Dota2RuHub,36319
281,2021-12-03T17:15:32.512858,Trainwreckstv,21182
282,2021-12-03T17:15:32.512858,FPSThailand,16704
283,2021-12-03T17:15:32.512858,stylishnoob4,16113
284,2021-12-03T17:15:32.512858,RiotGames_Korea,14599
285,2021-12-03T17:15:32.512858,BeyondTheSummit,12707
286,2021-12-03T17:15:32.512858,fps_shaka,12041
287,2021-12-03T17:15:32.512858,DreadzTV,11648
288,2021-12-03T17:15:32.512858,zackrawrr,11510
289,2021-12-03T17:15:32.512858,chowh1,11202
290,2021-12-03T17:15:32.512858,Fextralife,10918
291,2021-12-03T17:15:32.512858,Amouranth,10258
292,2021-12-03T17:15:32.512858,Yogscast,9764
293,2021-12-03T17:15:32.512858,Ponce,9679
294,2021-12-03T17:15:32.512858,sinatraa,9402
295,2021-12-03T17:15:32.512858,Shaunz,9131
296,2021-12-03T17:15:32.512858,SilverName,8249
297,2021-12-03T17:15:32.512858,풍월량,7626
298,2021-12-03T17:15:32.512858,NeVeR_LosEs,7597
299,2021-12-03T17:15:32.512858,김도,7558
300,2021-12-03T17:15:39.629074,Dota2RuHub,36319
301,2021-12-03T17:15:39.629074,Trainwreckstv,21182
302,2021-12-03T17:15:39.629074,FPSThailand,16704
303,2021-12-03T17:15:39.629074,stylishnoob4,16113
304,2021-12-03T17:15:39.629074,RiotGames_Korea,14599
305,2021-12-03T17:15:39.629074,BeyondTheSummit,12707
306,2021-12-03T17:15:39.629074,fps_shaka,12041
307,2021-12-03T17:15:39.629074,DreadzTV,11648
308,2021-12-03T17:15:39.629074,zackrawrr,11510
309,2021-12-03T17:15:39.629074,chowh1,11202
310,2021-12-03T17:15:39.629074,Fextralife,10918
311,2021-12-03T17:15:39.629074,Amouranth,10258
